,RMSE_drought,epoch,trial
0,0.23298196494579315,0,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
1,0.1983666568994522,1,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
2,0.17624109983444214,2,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
3,0.17088937759399414,3,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
4,0.16833436489105225,4,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
5,0.16405172646045685,5,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
6,0.16158919036388397,6,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
7,0.14834953844547272,7,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
8,0.13894876837730408,8,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
9,0.14565125107765198,9,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
10,0.1535339504480362,10,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
11,0.14079390466213226,11,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
12,0.1355779767036438,12,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
13,0.13050834834575653,13,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
14,0.12933163344860077,14,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
15,0.12476174533367157,15,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
16,0.11898267269134521,16,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
17,0.14000850915908813,17,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
18,0.12664303183555603,18,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
19,0.12751419842243195,19,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
20,0.12098953127861023,20,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
21,0.11715815216302872,21,configs/drought/drought_lstm/grid/(hidden_dim=32)_(num_layers=2).yaml
